scopeName,scopeId,ERP_Cod,Type,Lat,Lon,codId
Jundiai,51,ERPJU2104,ERP,-23.172567,-46.948416
Jundiai,51,ERPJU15504,ERP,-23.1597,-46.953652
Jundiai,51,ERPJU55502,ERP,-23.1615,-46.91062
Jundiai,51,ERPJU25501,ERP,-23.188339,-46.960236
Jundiai,51,ERPJU25502,ERP,-23.188122,-46.98367
Jundiai,51,ERPJU2103,ERP,-23.173122767619,-46.9292409840296
Jundiai,51,ERPJU15505,ERP,-23.176833,-46.931333
Leme,52,ERPAR5103,ERP,-22.294363,-47.392367
Leme,52,ERPLE5101,ERP,-22.227763,-47.391068
Limeira,53,ERPLM15502,ERP,-22.564599,-47.433219
Limeira,53,ERPLM15501,ERP,-22.56922,-47.402284
Limeira,53,ERPLM55501,ERP,-22.577367,-47.451947
Louveira,55,ERPLV55501,ERP,-23.081701,-46.978994
Louveira,55,ERPITV15501,ERP,-23.1144,-47.0047
Mogi das Cruzes,58,ERP0402,ERP,-23.5123771,-46.1931349
Mogi-Mirim,60,ERPMG55501,ERP,-22.37371138,-46.96979384
Mogi-Mirim,60,ERPMM55501,ERP,-22.449009,-46.982243
Monte Mor,61,ERPMMO55501,ERP,-22.9550218998193,-47.301781063361
Monte Mor,61,ERPMMO55502,ERP,-22.946159,-47.289812
Osasco,63,ERP064,ERP,-23.52316,-46.77108
Osasco,63,ERP000063,ERP,-23.536904,-46.746002
Paulinia,64,ERPPA5101,ERP,-22.757042,-47.130205
Paulinia,64,ERPPA5103,ERP,-22.740199,-47.140655
Paulinia,64,ERPCA55511,ERP,-22.79002,-47.037992
Pindamonhangaba,66,ERPPI15501,ERP,-22.943045,-45.415957
Pindamonhangaba,66,ERPPI2102,ERP,-22.913255,-45.348881
Piracicaba,67,ERPPR15502,ERP,-22.696053,-47.660275
Piracicaba,67,ERPPR15506,ERP,-22.680389,-47.680503
Piracicaba,67,ERPPR15507,ERP,-22.727232,-47.619879
Piracicaba,67,ERPPR15505,ERP,-22.675269,-47.630519
Piracicaba,67,ERPPR15504,ERP,-22.737815,-47.595195
Poa,68,ERP057,ERP,-23.53113,-46.31487
Ribeirao Pires,71,ERP305,ERP,-23.71615,-46.41162
Rio Claro,72,ERPRC5201,ERP,-22.380665,-47.607629
Rio Claro,72,ERPRC15501,ERP,-22.418253,-47.575624
Rio Claro,72,ERPRC5102,ERP,-22.420289,-47.578528
Rio das Pedras,73,ERPRP15501,ERP,-22.829825,-47.602872
Santa Barbara Doeste,75,ERPSBO15501,ERP,-22.7594,-47.395988
Santa Gertrudes,76,ERPSG5201,ERP,-22.4626447232267,-47.532661
Santa Gertrudes,76,ERP000043,ERP,-22.464666,-47.533288
Santa Gertrudes,76,ERPSG5105,ERP,-22.46267,-47.532661
Santa Isabel,77,ERD104,ERP,-23.13374,-46.16499
Santa Rita do Passo Quatro,78,ERPTBU2101,ERP,-21.734417,-47.317065
Santo Andre,80,ERP000144,ERP,-23.657403,-46.515388
Santo Andre,80,ERP060,ERP,-23.6382538,-46.5344196
Santo Andre,80,ERP019,ERP,-23.66069279,-46.55904988
